Time [s],Dn,Dp
0.128040350,1,0
0.128040430,0,1
0.128040510,1,0
0.128040590,0,0
0.128040600,0,1
0.128040680,1,0
0.128040760,0,1
0.128040840,0,0
0.128040850,1,0
0.128041010,0,1
0.128041180,1,0
0.128041260,0,1
0.128041430,1,0
0.128041680,0,0
0.128041850,0,1
0.128753590,1,0
0.128753680,0,1
0.128753760,1,0
0.128753840,0,1
0.128753930,1,0
0.128754010,0,1
0.128754090,1,0
0.128754340,0,1
0.128754510,1,0
0.128754590,0,1
0.128754760,1,0
0.128755090,0,1
0.128755430,1,0
0.128755510,0,1
0.128755590,1,0
0.128755680,0,1
0.128755930,1,0
0.128756260,0,0
0.128756430,0,1
0.129026590,1,0
0.129026670,1,1
0.129026680,0,1
0.129026760,1,0
0.129026840,0,1
0.129026930,1,0
0.129027010,0,1
0.129027090,1,0
0.129027340,0,1
0.129027430,1,0
0.129027510,0,1
0.129027590,1,0
0.129027930,0,1
0.129028010,1,0
0.129028090,0,1
0.129028180,1,0
0.129028260,0,1
0.129028340,1,0
0.129028430,0,1
0.129028510,1,0
0.129028590,0,1
0.129028680,1,0
0.129028760,0,1
0.129028840,1,0
0.129029010,0,1
0.129029090,1,0
0.129029180,0,1
0.129029260,0,0
0.129029430,0,1
0.129029760,1,0
0.129029840,0,1
0.129029930,1,0
0.129030010,0,1
0.129030090,1,0
0.129030180,0,1
0.129030260,1,0
0.129030590,0,1
0.129030760,1,0
0.129030840,0,1
0.129031010,1,0
0.129031090,0,1
0.129031180,1,0
0.129031260,0,1
0.129031340,1,0
0.129031430,0,1
0.129031510,1,0
0.129031590,0,1
0.129031680,1,0
0.129031760,0,1
0.129031840,1,0
0.129031930,0,1
0.129032010,1,0
0.129032090,0,1
0.129032180,1,0
0.129032260,0,1
0.129032340,1,0
0.129032430,0,0
0.129032590,0,1
0.129035430,1,0
0.129035510,0,1
0.129035590,1,0
0.129035680,0,1
0.129035760,1,0
0.129035840,0,1
0.129035930,1,0
0.129036180,0,1
0.129036260,1,0
0.129036340,0,1
0.129036430,1,0
0.129036760,0,1
0.129036840,1,0
0.129036930,0,1
0.129037010,1,0
0.129037090,0,1
0.129037180,1,0
0.129037260,0,1
0.129037340,1,0
0.129037420,1,1
0.129037430,0,1
0.129037510,1,0
0.129037590,0,1
0.129037680,1,0
0.129037840,0,1
0.129037930,1,0
0.129038010,0,1
0.129038090,0,0
0.129038260,0,1
0.129038590,1,0
0.129038670,1,1
0.129038680,0,1
0.129038760,1,0
0.129038840,0,1
0.129038930,1,0
0.129039010,0,1
0.129039090,1,0
0.129039430,0,1
0.129039590,1,0
0.129039680,0,1
0.129039840,1,0
0.129039930,0,1
0.129040010,1,0
0.129040090,0,1
0.129040180,1,0
0.129040260,0,1
0.129040340,1,0
0.129040430,0,1
0.129040510,1,0
0.129040590,0,1
0.129040680,1,0
0.129040760,0,1
0.129040840,1,0
0.129040930,0,1
0.129041010,1,0
0.129041090,0,1
0.129041180,1,0
0.129041260,0,0
0.129041430,0,1
0.129044260,1,0
0.129044340,0,1
0.129044430,1,0
0.129044510,0,1
0.129044590,1,0
0.129044670,1,1
0.129044680,0,1
0.129044760,1,0
0.129045010,0,1
0.129045090,1,0
0.129045180,0,1
0.129045260,1,0
0.129045590,0,1
0.129045680,1,0
0.129045760,0,1
0.129045840,1,0
0.129045930,0,1
0.129046010,1,0
0.129046090,0,1
0.129046180,1,0
0.129046260,0,1
0.129046340,1,0
0.129046430,0,1
0.129046510,1,0
0.129046680,0,1
0.129046760,1,0
0.129046840,0,1
0.129046930,0,0
0.129047090,0,1
0.129047430,1,0
0.129047510,0,1
0.129047590,1,0
0.129047680,0,1
0.129047760,1,0
0.129047840,0,1
0.129047930,1,0
0.129048260,0,1
0.129048430,1,0
0.129048510,0,1
0.129048680,1,0
0.129048760,0,1
0.129048840,1,0
0.129048930,0,1
0.129049010,1,0
0.129049090,0,1
0.129049180,1,0
0.129049260,0,1
0.129049340,1,0
0.129049430,0,1
0.129049510,1,0
0.129049590,0,1
0.129049680,1,0
0.129049760,0,1
0.129049840,1,0
0.129049930,0,1
0.129050010,1,0
0.129050090,0,0
0.129050260,0,1
0.129053090,1,0
0.129053170,1,1
0.129053180,0,1
0.129053260,1,0
0.129053340,0,1
0.129053430,1,0
0.129053510,0,1
0.129053590,1,0
0.129053840,0,1
0.129053930,1,0
0.129054010,0,1
0.129054090,1,0
0.129054430,0,1
0.129054510,1,0
0.129054590,0,1
0.129054680,1,0
0.129054760,0,1
0.129054840,1,0
0.129054930,0,1
0.129055010,1,0
0.129055090,0,1
0.129055180,1,0
0.129055260,0,1
0.129055340,1,0
0.129055510,0,1
0.129055590,1,0
0.129055680,0,1
0.129055760,0,0
0.129055930,0,1
0.129056260,1,0
0.129056340,0,1
0.129056430,1,0
0.129056510,0,1
0.129056590,1,0
0.129056680,0,1
0.129056760,1,0
0.129057090,0,1
0.129057260,1,0
0.129057340,0,1
0.129057510,1,0
0.129057590,0,1
0.129057680,1,0
0.129057760,0,1
0.129057840,1,0
0.129057930,0,1
0.129058010,1,0
0.129058090,0,1
0.129058180,1,0
0.129058260,0,1
0.129058340,1,0
0.129058420,1,1
0.129058430,0,1
0.129058510,1,0
0.129058590,0,1
0.129058680,1,0
0.129058760,0,1
0.129058840,1,0
0.129058930,0,0
0.129059090,0,1
0.129061930,1,0
0.129062010,0,1
0.129062090,1,0
0.129062180,0,1
0.129062260,1,0
0.129062340,0,1
0.129062430,1,0
0.129062680,0,1
0.129062760,1,0
0.129062840,0,1
0.129062930,1,0
0.129063260,0,1
0.129063340,1,0
0.129063430,0,1
0.129063510,1,0
0.129063590,0,1
0.129063680,1,0
0.129063760,0,1
0.129063840,1,0
0.129063930,0,1
0.129064010,1,0
0.129064090,0,1
0.129064180,1,0
0.129064340,0,1
0.129064430,1,0
0.129064510,0,1
0.129064590,0,0
0.129064760,0,1
0.129065090,1,0
0.129065170,1,1
0.129065180,0,1
0.129065260,1,0
0.129065340,0,1
0.129065430,1,0
0.129065510,0,1
0.129065590,1,0
0.129065930,0,1
0.129066090,1,0
0.129066180,0,1
0.129066340,1,0
0.129066430,0,1
0.129066510,1,0
0.129066590,0,1
0.129066680,1,0
0.129066760,0,1
0.129066840,1,0
0.129066930,0,1
0.129067010,1,0
0.129067090,0,1
0.129067180,1,0
0.129067260,0,1
0.129067340,1,0
0.129067420,1,1
0.129067430,0,1
0.129067510,1,0
0.129067590,0,1
0.129067680,1,0
0.129067760,0,0
0.129067930,0,1
0.129070760,1,0
0.129070840,0,1
0.129070930,1,0
0.129071010,0,1
0.129071090,1,0
0.129071180,0,1
0.129071260,1,0
0.129071510,0,1
0.129071590,1,0
0.129071680,0,1
0.129071760,1,0
0.129072090,0,1
0.129072180,1,0
0.129072260,0,1
0.129072340,1,0
0.129072430,0,1
0.129072510,1,0
0.129072590,0,1
0.129072680,1,0
0.129072760,0,1
0.129072840,1,0
0.129072930,0,1
0.129073010,1,0
0.129073180,0,1
0.129073260,1,0
0.129073340,0,1
0.129073430,0,0
0.129073590,0,1
0.129073930,1,0
0.129074010,0,1
0.129074090,1,0
0.129074180,0,1
0.129074260,1,0
0.129074340,0,1
0.129074430,1,0
0.129074760,0,1
0.129074930,1,0
0.129075010,0,1
0.129075180,1,0
0.129075260,0,1
0.129075340,1,0
0.129075420,1,1
0.129075430,0,1
0.129075510,1,0
0.129075590,0,1
0.129075680,1,0
0.129075760,0,1
0.129075840,1,0
0.129075930,0,1
0.129076010,1,0
0.129076090,0,1
0.129076180,1,0
0.129076260,0,1
0.129076340,1,0
0.129076430,0,1
0.129076510,1,0
0.129076590,0,0
0.129076760,0,1
0.129296400,0,1
