Time [s],Dn,Dp,out_en
0.269470770,1,0,0
0.269471350,0,1,0
0.269471690,1,0,0
0.269471770,0,0,0
0.269471940,0,1,0
0.270469020,1,0,0
0.270469100,0,1,0
0.270469180,0,0,0
0.270469190,1,0,0
0.270469270,0,1,0
0.270469350,1,0,0
0.270469430,0,1,0
0.270469520,1,0,0
0.270469770,0,1,0
0.270469940,1,0,0
0.270470020,0,1,0
0.270470190,1,0,0
0.270470520,0,1,0
0.270470600,1,0,0
0.270470770,0,1,0
0.270471270,1,0,0
0.270471350,0,1,0
0.270471430,0,0,0
0.270471440,1,0,0
0.270471520,0,1,0
0.270471680,0,0,0
0.270471850,0,1,0
0.271469020,1,0,0
0.271469100,0,1,0
0.271469180,1,0,0
0.271469260,0,0,0
0.271469270,0,1,0
0.271469350,1,0,0
0.271469430,0,1,0
0.271469510,0,0,0
0.271469520,1,0,0
0.271469760,0,0,0
0.271469770,0,1,0
0.271469930,1,0,0
0.271470010,0,0,0
0.271470020,0,1,0
0.271470180,1,0,0
0.271470350,0,1,0
0.271470430,1,0,0
0.271470600,0,1,0
0.271470770,1,0,0
0.271471350,0,1,0
0.271471770,0,0,0
0.271471930,0,1,0
0.271473100,1,0,0
0.271473180,0,1,0
0.271473260,0,0,0
0.271473270,1,0,0
0.271473350,0,1,0
0.271473430,1,0,0
0.271473510,0,0,0
0.271473520,0,1,0
0.271473600,1,0,0
0.271473850,0,1,0
0.271473930,1,0,0
0.271474100,0,1,0
0.271474350,1,0,0
0.271474430,0,1,0
0.271474600,1,0,0
0.271474680,0,1,0
0.271474760,0,0,0
0.271474770,1,0,0
0.271474850,0,1,0
0.271474930,1,0,0
0.271475010,0,0,0
0.271475020,0,1,0
0.271475180,1,0,0
0.271475260,0,1,0
0.271475350,1,0,0
0.271475430,0,1,0
0.271475510,0,0,0
0.271475520,1,0,0
0.271475600,0,1,0
0.271475760,0,0,0
0.271475930,0,1,0
0.272469010,1,0,0
0.272469090,0,1,0
0.272469180,1,0,0
0.272469260,0,1,0
0.272469350,1,0,0
0.272469430,0,1,0
0.272469510,1,0,0
0.272469760,0,1,0
0.272469930,1,0,0
0.272470010,0,1,0
0.272470180,1,0,0
0.272470430,0,1,0
0.272470600,1,0,0
0.272470760,0,1,0
0.272471260,1,0,0
